eventnum,well,X531.40..488.,X572.27..488.,X692.40..488.,Trigger.Pulse.Width,SSC,FSC,estimated_diameter
17073,A08,41.8390708471191,8.8478627859632,57.7965420475022,16517,186.086280582611,35.8865443602057,0.72
18956,A09,34.7011796185423,5.14258691705412,32.3600933397479,15328,22.2886362240371,10.7309864982195,0.45
21245,A10,166.789216569783,22.6708994104149,57.7153726233669,22865,4.8840684089307,3.89945055595963,0.3
23797,A11,77.5946079123842,13.1694570755753,18.23838285791,18249,4.58475273196031,2.06597238277087,0.24
26086,A13,97.3924723271907,16.5691151593857,34.0777335680832,20474,4.20453780438906,2.28660892632351,0.25
27740,A14,162.988965445215,22.0518395674027,36.2820972286808,21744,3.83639520797055,4.77144478272461,0.33
29417,A15,24.7106005754156,2.22667201035192,17.2656374494717,15165,4.48029027279282,1.44514727854064,0.21
31898,A16,91.5653072498202,12.5673341925533,64.0499145508138,20078,3.67697538586042,1.59409664752778,0.21
33904,A17,113.371630987573,17.3118023528096,67.0809371243076,20292,6.82697819318044,5.82532049546528,0.36
35909,A18,35.8663762448477,5.1281525688703,25.4400275988482,15577,2.57095937883883,1.02533140069483,0.18
38076,A19,206.829648063525,25.6843138856491,69.9991511332678,24336,4.38190136632959,7.13699882077904,0.38
39838,A20,201.266721671071,28.1767005636387,68.12601538517,25010,17.9889114011237,5.27063319545995,0.34
42045,A21,142.618151995729,20.4977665662767,22.4963373725645,22033,3.19264323522266,3.57757598971512,0.29
44342,A22,107.309864982194,16.0015700716619,29.3983363158875,19658,9.5535234557291,1.77129548500822,0.22
46614,A23,20.7382669678754,3.66201992637103,19.0050767986218,12778,3.75689538285168,1.02619635741244,0.18
89139,B02,211.265752819432,27.0742323906772,74.0468922582727,23820,146.169229282456,229.691550566196,1.49
87098,B03,51.6358891918819,7.4307511067916,19.5578360315387,18131,2.84512638037985,1.64530932296068,0.22
84921,B04,23.0532379824758,4.08915243820635,18.1514420222817,12178,3.92639637983919,1.02590795746288,0.18
